date,PX,ret_1d,logret_1d,sma_5,sma_20,ema_12,ema_26,sma_cross,bb_mid_20,bb_up_20,bb_lo_20,bb_pos,rsi_14,macd,macd_sig_9,macd_hist,vol_20d,roc_12,Volume
1986-04-11,0.069028,0.0,0.0,0.06753658,0.06679087,0.06755982124706163,0.06747611986522249,1,0.06679087,0.0738029652604392,0.05977877473956081,0.3190387347732471,53.15027145069372,8.370138183913522e-05,-0.0003795651500023872,0.0004632665318415224,1.0198403417809154,0.12111403276547872,24976410.336659
1986-04-14,0.069028,0.0,0.0,0.069028,0.06679087,0.06778569490135984,0.06759107394928009,1,0.06679087,0.0738029652604392,0.05977877473956081,0.3190387347732471,53.15027123282232,0.00019462095207975483,-0.0002647279295859588,0.00045934888166571363,1.0198403417809154,0.12111403276547872,17625493.606168
1986-04-15,0.069028,0.0,0.0,0.069028,0.06679087,0.0679768187626891,0.06769751291600007,1,0.06679087,0.0738029652604392,0.05977877473956081,0.3190387347732471,53.1502709981916,0.0002793058466890319,-0.00015592117433096066,0.00043522702101999255,1.0198403417809154,0.0,13490604.683172
1986-04-16,0.069028,0.0,0.0,0.069028,0.06679087,0.06813853895304463,0.06779606751481487,1,0.06679087,0.0738029652604392,0.05977877473956081,0.3190387347732471,53.15027074551235,0.000342471438229755,-5.624265181881753e-05,0.00039871409004857254,1.0198403417809154,0.0,46277364.882748
1986-04-17,0.069028,0.0,0.0,0.069028,0.06679087,0.06827537911411469,0.06788732177297672,1,0.06679087,0.0738029652604392,0.05977877473956081,0.3190387347732471,53.15027047339624,0.0003880573411379623,3.261734677253844e-05,0.00035543999436542386,1.0198403417809154,0.12111403276547872,31909663.391864
1986-04-18,0.069028,0.0,0.0,0.069028,0.06679087,0.06839116694271243,0.06797181645645993,1,0.06679087,0.0738029652604392,0.05977877473956081,0.3190387347732471,53.15027018034812,0.0004193504862524955,0.00010996397466852985,0.00030938651158396566,1.0198403417809154,0.0,31366698.554251
1986-04-21,0.069028,0.0,0.0,0.069028,0.06716372500000001,0.0684891412592182,0.06805005227449992,1,0.06716372500000001,0.07378953222450602,0.060537917775494006,0.2813657169355682,53.150269864757846,0.0004390889847182833,0.00017578897667848054,0.0002633000080398027,0.9263159915747686,0.0,33246194.36187
1986-04-22,0.069028,0.0,0.0,0.069028,0.06753658,0.06857204260395386,0.06812249284675918,1,0.06753658,0.07365723853546736,0.061415921464532626,0.24366985862022492,53.1502695248914,0.0004495497571946755,0.00023054113278171955,0.00021900862441295594,0.9263159915747686,0.0,22553944.542079
1986-04-23,0.069028,0.0,0.0,0.069028,0.067909435,0.06864218989565327,0.06818956745070294,1,0.067909435,0.07337321560832377,0.062445654391676236,0.2047236300622924,53.150269158881386,0.00045262244495032633,0.00027495739521544093,0.0001776650497348854,0.9263159915747686,0.12111403276547872,22637486.545964
1986-04-24,0.0768932,0.11394216839543359,0.10790522668845137,0.07060104,0.06867555,0.06991157606555276,0.06883428097287309,1,0.06867555,0.07466841649293185,0.06268268350706815,1.3712386234020248,70.40982131087222,0.0010772950926796754,0.00043542493470828783,0.0006418701579713876,0.9941873148955735,0.11394216839543359,90424625.454008
1986-04-25,0.0845253,0.09925585097251788,0.09463345175965256,0.07370050000000002,0.069450415,0.07215984128623695,0.06999657867858619,1,0.069450415,0.07873736872983549,0.06016346127016451,1.6232324870500927,78.63498534300408,0.002163262607650762,0.0007809924692967827,0.0013822701383539794,0.9692198083338257,0.224507446253694,124422616.49113
1986-04-28,0.0845253,0.0,0.0,0.07679996,0.07022528000000001,0.07406221954989281,0.07107278025795018,1,0.07022528000000001,0.08169369042050087,0.05875686957949916,1.2469051486365852,78.63498503457635,0.0029894392919426332,0.001222681833825953,0.0017667574581166803,0.9692198083338257,0.224507446253694,41891868.485753
1986-04-29,0.0768932,-0.09029367538476651,-0.09463345175965247,0.078373,0.070991395,0.07449775500375545,0.07150392246106498,1,0.070991395,0.0820659300245697,0.059916859975430295,0.5329167307617332,59.46479926725259,0.0029938325426904777,0.001576911975598858,0.0014169205670916197,0.9376956526893141,0.11394216839543359,43980199.220624
1986-04-30,0.0768932,0.0,0.0,0.07994604,0.07138465499999999,0.0748662850031777,0.07190312820468979,1,0.07138465499999999,0.08272112258618072,0.060048187413819266,0.4859137079626971,59.464799062697125,0.0029631567984879092,0.0018541609401766684,0.0011089958583112409,0.8549597533903507,0.11394216839543359,44815532.750415
1986-05-01,0.0768932,0.0,0.0,0.07994604,0.071777915,0.0751781180796119,0.07227276315249055,1,0.071777915,0.08331408958264037,0.06024174041735962,0.44341258563280356,59.464798842406616,0.002905354927121351,0.002064399737565605,0.0008409551895557457,0.8549597533903507,0.11394216839543359,78813522.757672
1986-05-02,0.0768932,0.0,0.0,0.07841962,0.072171175,0.07544197683659469,0.07261501773378755,1,0.072171175,0.0838480241476218,0.06049432585237822,0.4043920530532606,59.46479860517069,0.0028269591028071417,0.0022169116106139125,0.0006100474921932292,0.8549597533903507,0.11394216839543359,29361898.494698
1986-05-05,0.0768932,0.0,0.0,0.0768932,0.07293729,0.07566524193865705,0.07293192012387736,1,0.07293729,0.08365716700968331,0.062217412990316696,0.3690256890472348,59.46479834968585,0.002733321814779685,0.002320193651447067,0.00041312816333261785,0.7297819511090287,0.11394216839543359,4719627.3372257
1986-05-06,0.0768932,0.0,0.0,0.0768932,0.07333055,0.07585415856347905,0.0732253482628494,1,0.07333055,0.08402362185256931,0.06263747814743068,0.3331736706832255,59.46479807454833,0.0026288103006296415,0.002381916981283582,0.00024689331934605934,0.6198909089584644,0.11394216839543359,14117100.196102
