date,PX,ret_1d,logret_1d,sma_5,sma_20,ema_12,ema_26,sma_cross,bb_mid_20,bb_up_20,bb_lo_20,bb_pos,rsi_14,macd,macd_sig_9,macd_hist,vol_20d,roc_12,Volume,avg_sentiment,sentiment_lag1,z_rsi,z_macd,z_px_roc,composite,signal,future_ret
2025-04-17,367.78,-0.0103065041306746,-0.0103599839215111,380.276,379.85800000000006,377.573107971588,381.8660849580913,1,379.85800000000006,404.3906288419154,355.3253711580847,-0.4923239200262207,41.78464864905796,-4.292976986503334,-4.931079202472828,0.6381022159694947,0.450732092600129,-0.0377037599099925,21120192.0,0.0,0.0,,,,,0,-0.023546685518516464
2025-04-21,359.12,-0.0235466855185164,-0.0238283388390303,374.41,378.251,374.73416828365134,380.18118977601046,-1,378.251,403.8272923941688,352.67470760583126,-0.7479973916923854,38.03897259803047,-5.447021492359113,-5.034267660450086,-0.4127538319090273,0.4536505183325287,-0.0602397027267492,20807279.0,0.0,0.0,,,,,0,0.02144130095789709
2025-04-22,366.82,0.021441300957897,0.0212146700492098,370.212,376.938,373.5166039323204,379.1914720148245,-1,376.938,401.9999700154051,351.8760299845949,-0.403719260448427,42.937045346696735,-5.674868082504133,-5.162387744860896,-0.5124803376432379,0.4617189972696818,-0.0168582991611053,19484993.0,0.0,0.0,,,,,0,0.02063682460062144
2025-04-23,374.39,0.0206368246006214,0.0204267703221385,367.944,375.8995000000001,373.6509725581173,378.8358074211338,-1,375.8995000000001,399.45846296083306,352.34053703916703,-0.0640732787139067,47.34405376438595,-5.18483486301659,-5.166877168492035,-0.0179576945245552,0.4686002052339035,0.0404346376167186,20545526.0,0.0,0.0,,,,,0,0.034482758620689724
2025-04-24,387.3,0.0344827586206897,0.0339015516756814,371.082,375.766,375.75082293379154,379.462784649198,-1,375.766,399.0175012758182,352.5144987241817,0.496053990801683,53.88508315929978,-3.71196171540646,-4.8758940778749205,1.1639323624684603,0.4841625126516666,0.0822668082490358,22232289.0,0.0,0.0,,,,,0,0.011747998967208906
2025-04-25,391.85,0.0117479989672089,0.0116795269781671,375.896,375.8295,378.2276194055159,380.3803561566649,1,375.8295,399.2576130942789,352.4013869057211,0.683815206778739,55.96143832776716,-2.15273675114895,-4.331262612529726,2.178525861380776,0.4860190272187878,0.1051726083032491,18973165.0,0.0,0.0,,,,,0,-0.0017608778869465658
2025-04-28,391.16,-0.0017608778869465,-0.0017624300547992,382.304,376.4475,380.2172164200519,381.1788482932082,1,376.4475,400.837856916756,352.057143083244,0.6032097049753566,55.55294060154429,-0.9616318731563068,-3.657336464655043,2.695704591498736,0.4723770267169206,0.0017157929780533,16579430.0,0.0,0.0,,,,,0,0.007362716024133409
2025-04-29,394.04,0.0073627160241334,0.007335743543404,387.748,377.38,382.3437985092747,382.13152619741504,1,377.38,402.9954221638452,351.7645778361548,0.6503894370132499,56.96499275032451,0.2122723118596354,-2.8834147093521074,3.095687021211743,0.471056065538023,0.0332765176347187,14973976.0,0.0,0.0,,,,,0,0.0030961323723479595
2025-04-30,395.26,0.0030961323723479,0.0030913492248099,391.922,378.0335,384.3309064309248,383.10400573834727,1,378.0335,404.8063411287577,351.2606588712423,0.6434318986600328,57.5797908748453,1.2269006925774877,-2.061351628966188,3.288252321543676,0.4674989285696441,0.0175312137984295,36461075.0,0.0,0.0,,,,,0,0.07625360522187918
2025-05-01,425.4,0.0762536052218791,0.0734861265538484,399.542,380.1965,390.6492285184748,386.23704235032153,1,380.1965,414.3413291685258,346.0516708314741,1.3238754183508374,69.26257274756526,4.412186168153255,-0.7666440695422995,5.178830237695554,0.532260934703081,0.0969289084861142,58938100.0,0.0,0.0,,,,,0,0.02322519981194171
2025-05-02,435.28,0.0232251998119417,0.022959599411533,408.228,383.305,397.515501054094,389.8698540280755,1,383.305,425.1784874039514,341.4315125960486,1.241238865504556,71.98617825539884,7.64564702601848,0.9158141495698564,6.729832876448624,0.5240079371992442,0.1284577294999092,30757434.0,0.0,0.0,,,,,0,0.002044660907921436
2025-05-05,436.17,0.0020446609079214,0.0020425734337741,417.23,387.1215,403.4623470457718,393.29949447044027,1,387.1215,433.6457122702673,340.5972877297327,1.054257506071648,72.22493165895247,10.162852575331556,2.7652218347221966,7.397630740609359,0.4984530141320721,0.1737305239363848,20136053.0,0.0,0.0,,,,,0,-0.006557076369305581
2025-05-06,433.31,-0.0065570763693055,-0.0065786684335278,425.084,390.894,408.0542936541146,396.263235620778,1,390.894,439.6120785205793,342.1759214794207,0.8706418908143679,70.15573809616524,11.791058033336585,4.570389074445075,7.220668958891508,0.4988943828085732,0.1781771711349176,15104204.0,0.0,0.0,,,,,0,9.231266298970198e-05
2025-05-07,433.35,9.231266298970198e-05,9.230840243802777e-05,432.70200000000006,394.8335,411.94594078425087,399.0104033525722,1,394.8335,443.9217175915595,345.7452824084405,0.7846383896127189,70.16861069093673,12.935537431678595,6.24341874589178,6.692118685786817,0.4953031370909942,0.2066997104032077,23307241.0,0.0,0.0,,,,,0,0.011122649128879614
2025-05-08,438.17,0.0111226491288796,0.0110612473478418,435.256,397.2175,415.9804114328277,401.9111142153447,1,397.2175,449.91598569681446,344.5190143031856,0.7771096163105786,71.7498504967493,14.069297217482983,7.808594440210021,6.260702777272963,0.3758683704791596,0.1945095687258056,23491330.0,0.0,0.0,,,,,0,0.001278042768788401
